
2024/10/05 (02:36:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (02:36:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/05 (14:23:04) | ===> btop++ v.1.4.0
2024/10/05 (14:23:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/10/05 (14:23:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (11:26:58) | ===> btop++ v.1.4.0
2025/03/11 (11:26:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (11:26:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/11 (11:47:20) | ===> btop++ v.1.4.0
2025/03/11 (11:47:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/11 (11:47:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/15 (22:44:28) | ===> btop++ v.1.4.0
2025/03/15 (22:44:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/15 (22:44:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (00:32:03) | ===> btop++ v.1.4.0
2025/03/16 (00:32:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/16 (00:32:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/16 (00:57:44) | ===> btop++ v.1.4.0
2025/03/16 (00:57:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/16 (00:57:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/17 (17:27:36) | ===> btop++ v.1.4.0
2025/03/17 (17:27:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/17 (17:27:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (10:09:54) | ===> btop++ v.1.4.0
2025/03/18 (10:09:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (10:09:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (12:24:30) | ===> btop++ v.1.4.0
2025/03/18 (12:24:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (12:24:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/18 (12:34:23) | ===> btop++ v.1.4.0
2025/03/18 (12:34:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (12:34:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/18 (12:34:26) | WARNING: Failed to join _runner thread on exit!

2025/03/18 (17:19:48) | ===> btop++ v.1.4.0
2025/03/18 (17:19:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/18 (17:19:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (15:10:11) | ===> btop++ v.1.4.0
2025/03/19 (15:10:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (15:10:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/19 (15:29:40) | ===> btop++ v.1.4.0
2025/03/19 (15:29:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (15:29:40) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/19 (15:30:55) | WARNING: Failed to join _runner thread on exit!

2025/03/19 (16:57:00) | ===> btop++ v.1.4.0
2025/03/19 (16:57:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/19 (16:57:00) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/19 (17:00:19) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (01:50:26) | ===> btop++ v.1.4.0
2025/03/21 (01:50:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (01:50:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (02:31:25) | ===> btop++ v.1.4.0
2025/03/21 (02:31:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (02:31:25) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (02:31:29) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (02:31:36) | ===> btop++ v.1.4.0
2025/03/21 (02:31:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (02:31:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (02:32:55) | ===> btop++ v.1.4.0
2025/03/21 (02:32:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (02:32:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (02:33:06) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (02:34:16) | ===> btop++ v.1.4.0
2025/03/21 (02:34:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (02:34:16) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (02:34:22) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (02:35:20) | ===> btop++ v.1.4.0
2025/03/21 (02:35:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (02:35:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (02:35:25) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (13:10:26) | ===> btop++ v.1.4.0
2025/03/21 (13:10:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (13:10:26) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (13:10:33) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (13:12:26) | ===> btop++ v.1.4.0
2025/03/21 (13:12:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (13:12:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (21:33:36) | ===> btop++ v.1.4.0
2025/03/21 (21:33:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (21:33:36) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (22:28:06) | ===> btop++ v.1.4.0
2025/03/21 (22:28:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (22:28:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/21 (22:33:50) | ===> btop++ v.1.4.0
2025/03/21 (22:33:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (22:33:50) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (22:33:51) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (22:43:04) | ===> btop++ v.1.4.0
2025/03/21 (22:43:04) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (22:43:04) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (22:47:35) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (22:47:43) | ===> btop++ v.1.4.0
2025/03/21 (22:47:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (22:47:43) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (22:47:48) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (22:58:56) | ===> btop++ v.1.4.0
2025/03/21 (22:58:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (22:58:56) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/21 (23:43:03) | WARNING: Failed to join _runner thread on exit!

2025/03/21 (23:49:47) | ===> btop++ v.1.4.0
2025/03/21 (23:49:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/21 (23:49:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (00:57:23) | ===> btop++ v.1.4.0
2025/03/22 (00:57:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/22 (00:57:23) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/22 (00:57:42) | WARNING: Failed to join _runner thread on exit!

2025/03/22 (00:57:52) | ===> btop++ v.1.4.0
2025/03/22 (00:57:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/22 (00:57:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (00:59:55) | ===> btop++ v.1.4.0
2025/03/22 (00:59:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/22 (00:59:55) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/22 (01:00:20) | WARNING: Failed to join _runner thread on exit!

2025/03/22 (01:08:50) | ===> btop++ v.1.4.0
2025/03/22 (01:08:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/22 (01:08:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (07:22:20) | ===> btop++ v.1.4.0
2025/03/22 (07:22:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/22 (07:22:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/22 (07:22:25) | WARNING: Failed to join _runner thread on exit!

2025/03/22 (13:01:29) | ===> btop++ v.1.4.0
2025/03/22 (13:01:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/22 (13:01:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (10:22:48) | ===> btop++ v.1.4.0
2025/03/23 (10:22:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/23 (10:22:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (10:30:48) | ===> btop++ v.1.4.0
2025/03/23 (10:30:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/23 (10:30:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/23 (12:00:22) | ===> btop++ v.1.4.0
